CandidateIdentifier,FirstName,MiddleName,LastSurname,SexDescriptor,BirthDate,HispanicLatinoEthnicity,EconomicDisadvantaged,LoginId,GenderDescriptor,PersonId,SourceSystemDescriptor,AidTypeDescriptor1,AidTypeDescriptor2,AidTypeDescriptor3,AidTypeDescriptor4,AidTypeDescriptor5,AidTypeDescriptor6,AidTypeDescriptor7,AidTypeDescriptor8,BeginDate1,BeginDate2,BeginDate3,BeginDate4,BeginDate5,BeginDate6,BeginDate7,BeginDate8,AidAmount1,AidAmount2,AidAmount3,AidAmount4,AidAmount5,AidAmount6,AidAmount7,AidAmount8,AidConditionDescription1,AidConditionDescription2,AidConditionDescription3,AidConditionDescription4,AidConditionDescription5,AidConditionDescription6,AidConditionDescription7,AidConditionDescription8,EndDate1,EndDate2,EndDate3,EndDate4,EndDate5,EndDate6,EndDate7,EndDate8,PellGrantRecipient1,PellGrantRecipient2,PellGrantRecipient3,PellGrantRecipient4,PellGrantRecipient5,PellGrantRecipient6,PellGrantRecipient7,PellGrantRecipient8,RaceDescriptor1
1000000003,Bree,Graciela,Byles,uri://ed-fi.org/SexDescriptor#Female,1960-12-19,TRUE,TRUE,Bree.Byles.1000000003@univ.edu,uri://tpdm.ed-fi.org/GenderDescriptor#Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000000004,Arie,,Stapleton,uri://ed-fi.org/SexDescriptor#Male,1978-08-12,TRUE,FALSE,Arie.Stapleton.1000000004@univ.edu,uri://tpdm.ed-fi.org/GenderDescriptor#Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,uri://ed-fi.org/RaceDescriptor#American Indian - Alaska Native
1000000006,Elfie,,Fussey,uri://ed-fi.org/SexDescriptor#Female,1974-09-27,TRUE,TRUE,Elfie.Fussey.1000000006@univ.edu,uri://tpdm.ed-fi.org/GenderDescriptor#Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,uri://ed-fi.org/RaceDescriptor#Black - African American
1000000007,Teador,Graciel,Palfree,uri://ed-fi.org/SexDescriptor#Male,1979-06-12,TRUE,FALSE,Teador.Palfree.1000000007@univ.edu,uri://tpdm.ed-fi.org/GenderDescriptor#Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000000014,Ade,,Le Moucheux,uri://ed-fi.org/SexDescriptor#Male,1979-05-07,TRUE,TRUE,Ade.Le Moucheux.1000000014@univ.edu,uri://tpdm.ed-fi.org/GenderDescriptor#Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,uri://ed-fi.org/RaceDescriptor#Black - African American
1000000018,Nolly,,Cotherill,uri://ed-fi.org/SexDescriptor#Male,1980-06-28,TRUE,TRUE,Nolly.Cotherill.1000000018@univ.edu,uri://tpdm.ed-fi.org/GenderDescriptor#Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,uri://ed-fi.org/RaceDescriptor#Black - African American
1000000019,Isaak,C.,Knagges,uri://ed-fi.org/SexDescriptor#Male,1981-12-13,TRUE,TRUE,Isaak.Knagges.1000000019@univ.edu,uri://tpdm.ed-fi.org/GenderDescriptor#Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,uri://ed-fi.org/RaceDescriptor#Black - African American
1000000020,Yale,Joe,Lorkins,uri://ed-fi.org/SexDescriptor#Male,1981-12-28,TRUE,TRUE,Yale.Lorkins.1000000020@univ.edu,uri://tpdm.ed-fi.org/GenderDescriptor#Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,uri://ed-fi.org/RaceDescriptor#Black - African American
1000000021,Mord,Philip,Londsdale,uri://ed-fi.org/SexDescriptor#Male,1983-12-15,FALSE,FALSE,Mord.Londsdale.1000000021@univ.edu,uri://tpdm.ed-fi.org/GenderDescriptor#Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,uri://ed-fi.org/RaceDescriptor#Black - African American
1000000024,Marguerite,,Barlass,uri://ed-fi.org/SexDescriptor#Female,1985-09-07,TRUE,TRUE,Marguerite.Barlass.1000000024@univ.edu,uri://tpdm.ed-fi.org/GenderDescriptor#Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,uri://ed-fi.org/RaceDescriptor#Black - African American
1000000026,Jordan,,Braid,uri://ed-fi.org/SexDescriptor#Male,1987-07-07,TRUE,TRUE,Jordan.Braid.1000000026@univ.edu,uri://tpdm.ed-fi.org/GenderDescriptor#Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,uri://ed-fi.org/RaceDescriptor#Black - African American
1000000029,Maggie,,Lidgely,uri://ed-fi.org/SexDescriptor#Female,1984-08-02,TRUE,FALSE,Maggie.Lidgely.1000000029@univ.edu,uri://tpdm.ed-fi.org/GenderDescriptor#Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000000031,Corilla,Odilia,Ingerman,uri://ed-fi.org/SexDescriptor#Female,1990-07-07,TRUE,TRUE,Corilla.Ingerman.1000000031@univ.edu,uri://tpdm.ed-fi.org/GenderDescriptor#Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,uri://ed-fi.org/RaceDescriptor#Black - African American
1000000033,Garrett,Allen,Edmons,uri://ed-fi.org/SexDescriptor#Male,1987-01-14,TRUE,TRUE,Garrett.Edmons.1000000033@univ.edu,uri://tpdm.ed-fi.org/GenderDescriptor#Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,uri://ed-fi.org/RaceDescriptor#Asian
1000000037,Bethina,Elianeth,Le Houx,uri://ed-fi.org/SexDescriptor#Female,1987-09-19,TRUE,TRUE,Bethina.Le Houx.1000000037@univ.edu,uri://tpdm.ed-fi.org/GenderDescriptor#Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,uri://ed-fi.org/RaceDescriptor#Black - African American
1000000039,Cindy,Marie,Grandham,uri://ed-fi.org/SexDescriptor#Female,1992-05-26,TRUE,TRUE,Cindy.Grandham.1000000039@univ.edu,uri://tpdm.ed-fi.org/GenderDescriptor#Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,uri://ed-fi.org/RaceDescriptor#Black - African American
1000000041,Perkin,,Stuther,uri://ed-fi.org/SexDescriptor#Male,1989-06-11,TRUE,TRUE,Perkin.Stuther.1000000041@univ.edu,uri://tpdm.ed-fi.org/GenderDescriptor#Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,uri://ed-fi.org/RaceDescriptor#Black - African American
1000000043,Lynda,,Jeacop,uri://ed-fi.org/SexDescriptor#Female,1989-09-24,TRUE,TRUE,Lynda.Jeacop.1000000043@univ.edu,uri://tpdm.ed-fi.org/GenderDescriptor#Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,uri://ed-fi.org/RaceDescriptor#Black - African American
1000000049,Cirstoforo,,Rohlfing,uri://ed-fi.org/SexDescriptor#Male,1987-04-11,TRUE,TRUE,Cirstoforo.Rohlfing.1000000049@univ.edu,uri://tpdm.ed-fi.org/GenderDescriptor#Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,uri://ed-fi.org/RaceDescriptor#Black - African American
1000000050,Menard,Alberto,Burburough,uri://ed-fi.org/SexDescriptor#Male,1990-03-10,TRUE,TRUE,Menard.Burburough.1000000050@univ.edu,uri://tpdm.ed-fi.org/GenderDescriptor#Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,uri://ed-fi.org/RaceDescriptor#Black - African American
1000000060,Katherina,Marie,Heinz,uri://ed-fi.org/SexDescriptor#Female,1993-02-23,TRUE,TRUE,Katherina.Heinz.1000000060@univ.edu,uri://tpdm.ed-fi.org/GenderDescriptor#Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,uri://ed-fi.org/RaceDescriptor#Black - African American
1000000064,Edan,A,Habershaw,uri://ed-fi.org/SexDescriptor#Male,1991-02-15,TRUE,TRUE,Edan.Habershaw.1000000064@univ.edu,uri://tpdm.ed-fi.org/GenderDescriptor#Male,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1000000067,Amalita,Y,Dightham,uri://ed-fi.org/SexDescriptor#Female,1990-01-13,TRUE,TRUE,Amalita.Dightham.1000000067@univ.edu,uri://tpdm.ed-fi.org/GenderDescriptor#Female,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,uri://tpdm.ed-fi.org/RaceDescriptor#Hispanic/Latino
